Date,Close,Open,High,Low,Volume,Change_Pct,Weekday,Volume_Norm,IsHoliday,IsMonday,IsTuesday,NextOpen,MondayOpen,Fri_Close_Low,Fri_High_Low,Gap,Gap_Pct
2021-01-01,485.75,485.75,485.75,485.75,,0.36%,Friday,,True,False,False,487.25,487.25,0.0,0.0,1.5,0.3088008234688626
2021-01-08,496.25,494.0,499.5,492.5,163270.0,0.46%,Friday,1.1962041309658904,False,False,False,496.5,496.5,3.75,7.0,0.25,0.05037783375314861
2021-01-15,531.5,534.0,536.5,527.75,167500.0,-0.51%,Friday,1.227195393745248,False,False,False,531.5,531.5,3.75,8.75,0.0,0.0
2021-01-22,500.5,522.5,522.75,499.25,289550.0,-4.53%,Friday,2.1213995597548454,False,False,False,500.0,500.0,1.25,23.5,-0.5,-0.0999000999000999
2021-01-29,547.0,534.5,553.75,533.25,279610.0,2.34%,Friday,2.048573755493187,False,False,False,549.0,549.0,13.75,20.5,2.0,0.3656307129798903
2021-02-05,548.5,548.5,552.25,545.5,216450.0,-0.27%,Friday,1.5858295103054265,False,False,False,548.75,548.75,3.0,6.75,0.25,0.04557885141294439
2021-02-19,542.75,549.25,555.5,540.75,203470.0,-1.36%,Friday,1.49073102546475,False,False,False,544.25,544.25,2.0,14.75,1.5,0.2763703362505758
2021-02-26,555.5,554.5,556.5,546.25,21400.0,0.14%,Friday,0.15678794881282573,False,False,False,560.5,560.5,9.25,10.25,5.0,0.9000900090009001
2021-03-12,549.25,545.0,551.5,544.5,70.0,-1.04%,Friday,0.0005128577764905515,False,False,False,537.0,537.0,4.75,7.0,-12.25,-2.2303140646335913
2021-04-09,577.25,579.0,595.0,575.5,249740.0,-0.43%,Friday,1.8297300157250045,False,False,False,569.0,569.0,1.75,19.5,-8.25,-1.429190125595496
2021-04-23,655.5,653.0,658.5,638.25,157730.0,0.77%,Friday,1.1556151012264955,False,False,False,661.0,661.0,17.25,20.25,5.5,0.8390541571319604
2021-04-30,740.0,702.5,746.25,699.25,9860.0,5.41%,Friday,0.07223968108852624,False,False,False,740.0,740.0,40.75,47.0,0.0,0.0
2021-05-07,772.75,763.25,775.0,755.0,680.0,1.74%,Friday,0.0049820469716225,False,False,False,766.75,766.75,17.75,20.0,-6.0,-0.7764477515367195
2021-05-14,685.0,717.25,718.75,685.0,30.0,-4.73%,Friday,0.00021979618992452204,False,False,False,642.25,642.25,0.0,33.75,-42.75,-6.240875912408759
2021-05-21,659.5,664.75,666.75,653.5,109620.0,-0.75%,Friday,0.8031352779842036,False,False,False,652.25,652.25,6.0,13.25,-7.25,-1.0993176648976497
2021-05-28,656.75,666.25,672.75,651.25,150330.0,-1.17%,Friday,1.10139870771178,False,False,False,666.88,666.0,5.5,21.5,9.25,1.4084507042253522
2021-06-04,682.75,663.5,685.75,660.75,142300.0,3.13%,Friday,1.0425665942086495,False,False,False,682.0,682.0,22.0,25.0,-0.75,-0.10984987184181619
2021-06-11,684.5,699.5,703.0,673.0,233950.0,-2.07%,Friday,1.7140439544280643,False,False,False,675.75,675.75,11.5,30.0,-8.75,-1.2783053323593865
2021-06-25,636.5,653.25,659.5,634.0,123020.0,-2.56%,Friday,0.9013109094838234,False,False,False,637.75,637.75,2.5,25.5,1.25,0.19638648860958366
2021-07-02,697.25,720.0,727.0,683.0,4750.0,-3.13%,Friday,0.03480106340471599,False,False,False,685.25,685.25,14.25,44.0,-12.0,-1.7210469702402296
2021-07-09,629.75,640.75,643.5,620.0,530.0,-1.29%,Friday,0.0038830660219998894,False,False,False,629.75,629.75,9.75,23.5,0.0,0.0
2021-07-16,556.0,564.0,570.5,553.25,83020.0,-1.46%,Friday,0.608249322917794,False,False,False,570.0,570.0,2.75,17.25,14.0,2.5179856115107913
2021-07-23,547.25,564.75,569.25,544.5,81450.0,-3.06%,Friday,0.5967466556450773,False,False,False,549.25,549.25,2.75,24.75,2.0,0.3654636820465966
