날짜,종가,시가,고가,저가,거래량,변동 %
2023- 10- 23,490.25,494.25,497.0,490.25,126.44K,-1.06%
2022- 06- 08,764.5,757.0,774.0,756.0,223.85K,0.99%
2021- 10- 08,530.5,533.25,538.75,530.0,95.48K,-0.66%
2022- 10- 07,683.25,675.5,684.5,671.5,113.58K,1.15%
2023- 02- 07,674.0,677.0,678.5,673.5,149.45K,-0.74%
2022- 06- 17,784.5,787.5,800.0,782.25,116.06K,-0.48%
2021- 06- 04,682.75,663.5,685.75,660.75,142.30K,3.13%
2023- 06- 16,640.25,623.0,641.0,622.25,223.69K,2.73%
2023- 09- 18,471.5,475.25,478.75,469.0,143.32K,-1.00%
2021- 04- 22,650.5,624.25,650.5,623.5,147.25K,4.00%
2021- 03- 03,550.25,560.0,560.0,548.0,3.81K,-1.87%
2023- 10- 12,496.0,487.75,498.75,482.25,208.37K,1.64%
2023- 08- 21,469.25,486.0,493.0,468.0,74.71K,-2.14%
2024- 12- 20,446.25,439.75,447.5,439.5,191.42K,1.25%
2021- 04- 14,594.0,579.75,597.75,578.75,242.72K,2.41%
2023- 04- 14,666.25,653.75,668.0,651.0,154.00K,2.15%
2021- 04- 29,702.0,683.75,704.5,681.0,30.79K,2.30%
2024- 10- 24,421.5,418.75,424.0,418.25,287.99K,0.60%
2023- 08- 14,475.75,476.25,479.75,468.75,73.61K,0.26%
2024- 11- 29,433.0,428.0,433.75,427.25,124.10K,1.17%
2021- 03- 04,546.25,550.25,554.25,546.0,2.13K,-0.73%
2021- 05- 05,753.25,750.0,756.0,740.75,1.78K,1.14%
2022- 06- 24,750.25,745.0,762.25,735.0,155.99K,0.47%
2022- 06- 14,768.25,765.75,771.0,759.0,125.80K,-0.13%
2025- 03- 21,464.25,467.25,469.75,461.25,182.43K,-1.01%
2023- 09- 13,464.0,466.75,467.75,462.5,0.12K,0.16%
2022- 10- 28,680.75,681.25,683.75,676.25,115.07K,-0.22%
2021- 08- 30,540.25,557.25,560.0,531.5,73.57K,-3.18%
2025- 02- 05,493.25,494.0,498.5,489.75,226.00K,-0.25%
2024- 08- 09,395.0,396.75,399.0,393.5,182.30K,-0.50%
2023- 08- 15,464.0,474.0,474.0,462.0,89.97K,-2.47%
2022- 12- 23,666.25,659.5,667.75,659.25,94.50K,0.87%
2021- 10- 27,557.25,542.5,563.25,539.5,241.14K,2.53%
2023- 08- 01,497.0,504.0,508.0,496.5,116.23K,-1.39%
2023- 02- 10,680.5,670.75,682.75,669.25,226.65K,1.45%
2021- 04- 13,580.0,569.0,584.5,565.5,225.72K,1.93%
2021- 01- 28,534.5,533.25,550.5,529.0,252.54K,0.09%
2022- 02- 23,683.75,674.0,685.0,669.25,154.73K,1.33%
2022- 06- 13,769.25,781.0,782.25,758.5,170.04K,-0.52%
2024- 04- 02,426.5,435.75,436.75,424.5,235.50K,-2.07%
2023- 12- 08,465.75,468.0,472.0,466.25,0.32K,-0.53%
2025- 03- 17,461.0,460.0,465.5,457.25,180.88K,3.48%
2021- 12- 01,572.0,568.0,576.0,567.0,6.27K,0.88%
2023- 12- 26,480.25,473.0,481.0,471.5,114.20K,1.53%
2021- 10- 25,538.0,537.0,542.0,535.0,107.05K,0.00%
2024- 05- 21,458.0,460.0,461.25,455.0,168.07K,-0.54%
2024- 07- 24,418.0,416.5,423.75,414.5,166.66K,0.18%
2024- 11- 14,419.0,426.0,428.0,418.25,292.27K,-1.76%
2023- 03- 16,632.75,626.0,635.0,624.75,167.31K,1.00%
2025- 03- 06,464.0,457.0,473.5,452.75,313.86K,1.81%
2023- 11- 08,476.0,469.0,480.5,468.5,322.78K,1.60%
2021- 05- 14,685.0,717.25,718.75,685.0,0.03K,-4.73%
2021- 05- 12,757.5,764.25,769.25,750.0,0.33K,-0.26%
2022- 01- 24,621.0,617.5,621.5,609.25,194.81K,0.77%
2023- 12- 01,464.5,460.25,469.5,458.25,3.31K,-3.78%
2023- 07- 25,557.5,559.75,563.75,545.5,104.80K,-0.54%
2022- 09- 29,669.5,670.5,676.75,666.0,139.45K,-0.15%
2021- 06- 25,636.5,653.25,659.5,634.0,123.02K,-2.56%
2024- 06- 18,455.75,450.25,457.25,449.5,106.45K,1.28%
2022- 05- 17,800.75,808.0,809.25,797.25,98.32K,-1.08%
2024- 11- 22,435.25,436.25,439.0,434.5,175.79K,-0.23%
2021- 08- 24,544.5,539.5,546.5,537.0,82.65K,1.21%
2024- 12- 30,452.25,453.75,458.5,449.75,217.07K,-0.39%
2022- 05- 30,775.62,776.0,777.12,775.62,,-0.21%
2024- 02- 23,399.75,406.0,409.25,398.5,218.22K,-1.54%
2021- 08- 16,564.75,568.25,572.0,561.0,60.69K,-0.62%
2023- 07- 20,537.25,545.0,554.5,533.0,123.96K,-1.51%
2024- 08- 29,396.0,390.0,396.25,389.25,236.85K,1.34%
2024- 12- 19,440.75,437.0,441.0,435.75,182.52K,0.80%
2021- 12- 07,586.25,584.0,589.5,579.5,1.89K,0.47%
2022- 12- 19,647.25,650.5,650.75,644.0,83.17K,-0.88%
2023- 07- 03,557.25,558.5,568.25,553.25,1.61K,0.50%
2024- 07- 11,400.25,395.25,403.0,394.75,197.07K,1.14%
2024- 03- 13,426.5,430.0,432.5,430.0,0.08K,-0.58%
2024- 05- 01,450.75,446.75,451.5,443.75,151.38K,0.90%
2023- 05- 03,645.25,636.5,646.0,626.5,2.08K,1.14%
2021- 02- 17,553.0,552.0,554.75,547.5,121.35K,0.14%
2023- 01- 20,676.25,675.5,678.0,672.5,134.98K,-0.15%
2024- 10- 21,409.5,403.75,411.75,403.0,241.76K,1.17%
